Quarterly Wafer Shipments (2),142,188,207,245,285,366,419,445,312,200,199,248,266,320,301,303,308,394,441,501,521,570,592,542,495,567,679,759,772,831,840,764,696,825,989,"1,048",976,"1,035","1,072",681,396,876,"1,087","1,080","1,132","1,301","1,418","1,420","1,405","1,463","1,413","1,296","1,297","1,645","1,716","1,584","1,587","1,793","1,864","1,719","1,718","2,053","2,267","2,225","2,287","2,240","2,216","2,020","2,056","2,297","2,638","2,614","2,473","2,533","2,744","2,699","2,680","2,674","2,712","2,686","2,205","2,308","2,733","2,823","2,925","2,985","3,240","3,246","3,359","3,449","3,646","3,725","3,778","3,799","3,974","3,702","3,227"
"(Thousand 12"" equivalent wafers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breakdown of Revenue (%) (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wafer Revenue by Technology (4) (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.20,0.14,0.18,0.18,0.23,0.20,0.21,0.28,0.32,0.31
7nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.23,0.22,0.21,0.27,0.35,0.35,0.36,0.35,0.29,0.35,0.31,0.34,0.27,0.30,0.30,0.26,0.22,0.20
10nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.10,0.25,0.19,0.13,0.06,0.06,0.04,0.03,0.02,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.21,0.16,0.20,0.21,0.24,0.23,0.23,0.31,0.33,0.31,0.26,0.24,0.20,0.18,0.21,0.23,0.20,0.16,0.23,0.22,0.20,0.19,0.18,0.18,0.13,0.14,0.14,0.13,0.13,0.14,0.14,0.12,0.12,0.13
20nm,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.04,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
65nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.07,0.10,0.15,0.18,0.25,0.27,0.23,0.28,0.31,0.30,0.27,0.27,0.29,0.31,0.32,0.29,0.27,0.30,0.26,0.26,0.22,0.19,0.17,0.18,0.15,0.16,0.16,0.15,0.13,0.11,0.12,0.11,0.11,0.11,0.10,0.12,0.11,0.11,0.11,0.10,0.10,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.06
90nm,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.02,0.10,0.17,0.20,0.24,0.24,0.23,0.22,0.26,0.27,0.29,0.28,0.28,0.26,0.21,0.25,0.23,0.18,0.16,0.17,0.16,0.14,0.11,0.10,0.09,0.09,0.08,0.08,0.10,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.08,0.07,0.06,0.05,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.11/0.13um,,,,,,,,,,,,,0.01,0.01,0.05,0.08,0.11,0.17,0.19,0.18,0.20,0.25,0.30,0.35,0.41,0.41,0.33,0.32,0.29,0.25,0.25,0.25,0.26,0.24,0.22,0.20,0.20,0.17,0.15,0.17,0.16,0.13,0.14,0.15,0.13,0.13,0.12,0.10,0.09,0.08,0.09,0.07,0.07,0.06,0.06,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02
0.15um,,,,,,,,,0.01,0.04,0.15,0.21,0.30,0.29,0.20,0.24,0.21,0.21,0.20,0.17,0.17,0.13,0.38,0.34,0.31,0.34,0.35,0.32,0.32,0.32,0.33,0.33,0.30,0.30,0.28,0.27,0.23,0.23,0.22,0.22,0.21,0.23,0.21,0.18,0.18,0.17,0.17,0.17,0.17,0.18,0.18,0.17,0.14,0.15,0.14,0.17,0.17,0.15,0.15,0.16,0.14,0.14,0.13,0.12,0.13,0.13,0.12,0.11,0.11,0.11,0.09,0.10,0.11,0.11,0.10,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05
0.18um,,,,,0.01,0.03,0.05,0.07,0.17,0.22,0.24,0.24,0.22,0.22,0.23,0.21,0.21,0.24,0.27,0.28,0.27,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25um+,1.00,1.00,1.00,1.00,0.99,0.97,0.95,0.93,0.82,0.74,0.61,0.55,0.47,0.48,0.52,0.47,0.47,0.38,0.34,0.37,0.36,0.33,0.32,0.30,0.24,0.23,0.22,0.19,0.19,0.19,0.18,0.19,0.21,0.17,0.16,0.14,0.14,0.14,0.12,0.13,0.14,0.12,0.12,0.12,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.09,0.08,0.08,0.09,0.08,0.07,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Revenue by Application (3) (4) (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer,0.44,0.40,0.41,0.40,0.36,0.36,0.35,0.29,0.32,0.41,0.49,0.57,0.56,0.45,0.36,0.39,0.41,0.43,0.36,0.35,0.32,0.27,0.31,0.35,0.34,0.38,0.30,0.32,0.37,0.30,0.28,0.32,0.30,0.29,0.32,0.35,0.32,0.30,0.30,0.30,0.23,0.26,0.28,0.33,0.32,0.29,0.25,0.24,0.23,0.25,0.21,0.20,0.22,0.21,0.19,0.16,0.16,0.16,0.13,0.13,0.13,0.11,0.09,0.09,0.08,0.07,0.08,0.09,0.08,0.08,0.07,0.07,0.09,0.08,0.10,0.10,0.14,0.20,0.12,0.11,0.10,,,,,,,,,,,,,,,,
Communication,0.27,0.25,0.33,0.33,0.38,0.39,0.33,0.33,0.31,0.24,0.16,0.20,0.18,0.26,0.34,0.35,0.38,0.34,0.36,0.42,0.45,0.45,0.42,0.41,0.41,0.37,0.41,0.41,0.39,0.44,0.45,0.42,0.42,0.44,0.42,0.42,0.39,0.38,0.38,0.39,0.41,0.42,0.42,0.39,0.39,0.41,0.44,0.47,0.48,0.45,0.48,0.53,0.48,0.48,0.49,0.54,0.55,0.57,0.53,0.51,0.54,0.54,0.59,0.65,0.60,0.62,0.59,0.62,0.63,0.58,0.60,0.66,0.60,0.56,0.55,0.62,0.56,0.47,0.56,0.64,0.62,,,,,,,,,,,,,,,,
